elective,course_name,course_by_subject,yes_no
選修,從英語學習多元文化,Social Sciences & Management,非常贊成
必修,程式設計,Engineering and Technology,不贊成
必修,統計學,Social Sciences & Management,不贊成
必修,英文中高級,Arts & Humanities,贊成
選修,科學的本質,Natural Sciences,非常贊成
必修,統計學,Social Sciences & Management,非常不贊成
選修,探尋建築工藝中的高雄故事,Arts & Humanities,贊成
必修,統計學(二),Social Sciences & Management,不贊成
選修,地球生命概論,Natural Sciences,贊成
選修,"古代俠義愛情怪異小說（太長了記不清楚）
",Arts & Humanities,非常贊成
必修,高級英文,Arts & Humanities,贊成
必修,英文高級,Arts & Humanities,非常贊成
必修,統計,Social Sciences & Management,非常不贊成
選修,科技英文,Arts & Humanities,贊成
選修,跨文化美學與人文概論,Arts & Humanities,非常贊成
選修,歐洲文藝復興之歷史與文化,Arts & Humanities,非常贊成
必修,統計學,Social Sciences & Management,不贊成
必修,英文中高級,Arts & Humanities,贊成
選修,多媒體英文,Social Sciences & Management,贊成
必修,統計學（二）,Social Sciences & Management,非常不贊成
必修,統計,Social Sciences & Management,非常不贊成
必修,統計學,Social Sciences & Management,沒意見
選修,透過實用性英語增進溝通能力,Social Sciences & Management,非常贊成
必修,統計學,Social Sciences & Management,沒意見
選修,全球化倫理道德,Social Sciences & Management,贊成
必修,統計學,Social Sciences & Management,沒意見
選修,Thesis Writing,Social Sciences & Management,沒意見
必修,線性代數,Natural Sciences,非常不贊成
必修,普生,Life Sciences & Medicine,不贊成
必修,統計學,Social Sciences & Management,不贊成
選修,跨文化人文思潮與美學導論,Arts & Humanities,非常贊成
選修,全球化導論,Social Sciences & Management,沒意見
選修,英文中高級,Arts & Humanities,贊成
必修,光學概論,Natural Sciences,不贊成
選修,成功的英文寫作,Arts & Humanities,非常贊成
選修,自信說英文,Social Sciences & Management,非常贊成
選修,觀光英語,Social Sciences & Management,贊成
必修,統計學,Social Sciences & Management,不贊成
必修,英文中高級,Arts & Humanities,不贊成
選修,觀光英語,Social Sciences & Management,贊成
必修,國際企業管理,Social Sciences & Management,贊成
選修,百老匯表演與戲劇藝術,Arts & Humanities,非常贊成
必修,中級英文,Arts & Humanities,沒意見
選修,英語聽講,Arts & Humanities,贊成
選修,國際現勢與公民視野,Social Sciences & Management,贊成
選修,西方文藝理論（外文系的課）,Arts & Humanities,非常贊成
選修,統計（一）,Social Sciences & Management,沒意見
必修,管理資訊系統,Social Sciences & Management,贊成
選修,"國際文化體驗
",Arts & Humanities,贊成
選修,觀光英語,Arts & Humanities,贊成
選修,歐美經典小說,Arts & Humanities,沒意見
選修,全球環境變遷概論,Natural Sciences,贊成
選修,全球化社會的倫理道德,Social Sciences & Management,非常贊成
必修,語言學概論,Arts & Humanities,贊成
選修,科技英文,Engineering and Technology,非常贊成
選修,從建築工藝中探尋高雄故事,Arts & Humanities,贊成
必修,光概,Natural Sciences,不贊成
選修,高分子物理,Natural Sciences,贊成
選修,科學的本質,Natural Sciences,贊成
選修,當代西洋外交史,Social Sciences & Management,贊成
必修,統計學,Social Sciences & Management,贊成
必修,語言學概論,Arts & Humanities,贊成
必修,光電科技概論,Engineering and Technology,不贊成
必修,普通化學,Natural Sciences,贊成
選修,科學的本質,Natural Sciences,非常贊成
必修,線性代數,Natural Sciences,非常不贊成
必修,線性代數,Natural Sciences,沒意見
選修,科技英文,Engineering and Technology,沒意見
選修,全球環境及氣候變遷,Natural Sciences,贊成
必修,統計學(二),Social Sciences & Management,非常不贊成
必修,訊號與系統,Engineering and Technology,不贊成
必修,統計學（一）,Social Sciences & Management,非常不贊成
選修,英文寫作,Arts & Humanities,贊成
必修,統計,Social Sciences & Management,贊成
必修,線性代數,Natural Sciences,非常不贊成
必修,線性代數,Natural Sciences,非常不贊成
必修,外文系必選修大一大二,Arts & Humanities,沒意見
必修,應用英語與溝通,Arts & Humanities,非常贊成
必修,線性代數,Natural Sciences,不贊成
選修,國際現勢與公民視野,Social Sciences & Management,非常贊成
選修,高雄建築工業什麼的,Arts & Humanities,沒意見
必修,英文,Arts & Humanities,非常不贊成
必修,調性與音樂理論,Arts & Humanities,不贊成
選修,軟體工程,Engineering and Technology,沒意見
選修,亞太企業經營管理實務,Social Sciences & Management,不贊成
必修,英國文學史、西洋文學概論、文學導讀、英語聽力、英語口語訓練、英語閱讀、語言學概論,Arts & Humanities,非常贊成
選修,國際現勢與公民視野,Social Sciences & Management,非常贊成
選修,科學的本質,Natural Sciences,非常贊成
選修,全球社會的倫理道德,Social Sciences & Management,非常贊成
選修,當代西洋外交史,Social Sciences & Management,沒意見
選修,奈米科技概論,Engineering and Technology,沒意見
必修,"Python
Unix",Engineering and Technology,沒意見
選修,批判性思考,Arts & Humanities,非常贊成
必修,調性音樂理論,Arts & Humanities,沒意見
必修,調性,Arts & Humanities,不贊成
必修,音樂基礎訓練、調性理論與和聲分析,Arts & Humanities,不贊成
選修,台灣政治,Social Sciences & Management,沒意見
選修,國際現勢與公民視野,Social Sciences & Management,非常贊成
必修,統計學,Social Sciences & Management,不贊成
必修,音樂調性理論,Arts & Humanities,沒意見
選修,"光電科技概論
高分子導論
材料物理性質
高分子物理",Engineering and Technology,不贊成
選修,社會行銷,Social Sciences & Management,贊成
選修,科學本質,Natural Sciences,沒意見
選修,消費者行為,Social Sciences & Management,沒意見
必修,微積分一,Engineering and Technology,不贊成
必修,統計,Social Sciences & Management,不贊成
選修,美國文學1865年後,Arts & Humanities,贊成
必修,線代,Natural Sciences,不贊成
必修,Unix,Engineering and Technology,沒意見
必修,unix,Engineering and Technology,贊成
選修,全球化社會的倫理道德,Social Sciences & Management,沒意見
必修,國際學程課程皆為英語授課,Arts & Humanities,贊成
選修,商用英文,Social Sciences & Management,非常贊成
必修,訊號與系統,Engineering and Technology,非常不贊成
選修,國際人力資源管理,Social Sciences & Management,非常贊成
必修,電子學二,Engineering and Technology,贊成
選修,國際現勢與公民視野,Social Sciences & Management,沒意見
選修,商英,Social Sciences & Management,贊成
選修,科學的本質,Natural Sciences,贊成
必修,統計學(二),Social Sciences & Management,贊成
必修,統計學,Social Sciences & Management,不贊成
選修,書報討論,Natural Sciences,贊成
選修,科技英文,Engineering and Technology,沒意見
選修,python,Engineering and Technology,非常贊成
必修,英文中高級,Arts & Humanities,非常贊成
選修,探尋建築工藝中的高雄故事,Arts & Humanities,非常贊成
必修,企管 商事法,Social Sciences & Management,贊成
必修,英文中高級、英文高級,Arts & Humanities,不贊成
選修,奈米科技概論,Engineering and Technology,沒意見
選修,天方夜譚的世界,Arts & Humanities,贊成
必修,英文中高級,Arts & Humanities,不贊成
選修,探尋建築工藝中的高雄故事,Arts & Humanities,沒意見
選修,商用英文,Social Sciences & Management,非常贊成
選修,地球生命概論,Natural Sciences,沒意見
必修,Research Methodology (GHRM),Social Sciences & Management,非常贊成
選修,社會文化分析,Social Sciences & Management,贊成
必修,電子學，工程數學,Engineering and Technology,非常不贊成
必修,電路學,Engineering and Technology,非常不贊成
必修,電路學,Engineering and Technology,沒意見
必修,微積分 ( 一 ),Engineering and Technology,沒意見
選修,後真相時代的批判性思維,Social Sciences & Management,沒意見
必修,光概,Natural Sciences,沒意見
選修,國際文化體驗,Arts & Humanities,沒意見
選修,觀光英語,Social Sciences & Management,贊成
選修,當代西洋外交史,Social Sciences & Management,非常贊成
必修,英文中級,Arts & Humanities,贊成
必修,科學,Natural Sciences,贊成
必修,商事法,Social Sciences & Management,不贊成
選修,統計學2,Social Sciences & Management,贊成
選修,海洋生態概論,Natural Sciences,贊成
必修,科技英文與簡報,Engineering and Technology,非常贊成
選修,應用英文,Arts & Humanities,贊成
選修,國際現勢與公民視野,Social Sciences & Management,贊成
選修,統計學,Social Sciences & Management,不贊成
選修,地球生命概論,Natural Sciences,非常贊成
選修,古生物學與古生態學（*授課教師為外籍老師，似乎不會說中文）,Life Sciences & Medicine,非常贊成
選修,地球生命概論,Natural Sciences,贊成
選修,全球化社會的道德理論,Social Sciences & Management,贊成
選修,西洋文學概論,Arts & Humanities,贊成
選修,歌舞電影與戲劇,Arts & Humanities,不贊成
選修,歐美經典短篇,Arts & Humanities,非常贊成
選修,科學的本質,Natural Sciences,沒意見
必修,"International Human Resource Management
",Social Sciences & Management,非常不贊成
必修,訊號系統,Engineering and Technology,贊成
選修,Python,Engineering and Technology,沒意見
必修,企業倫理與社會責任,Social Sciences & Management,贊成
必修,高級英文,Arts & Humanities,非常贊成
選修,英文簡報技巧,Social Sciences & Management,不贊成
選修,"地球生命概論
",Natural Sciences,非常贊成
必修,英國文學,Arts & Humanities,贊成
選修,材料機械性質,Engineering and Technology,贊成
必修,英語口語訓練,Arts & Humanities,沒意見
必修,訊號與系統,Engineering and Technology,不贊成
選修,氣膠生醫概論,Life Sciences & Medicine,非常不贊成
必修,線性代數,Engineering and Technology,不贊成
必修,訊號與系統,Engineering and Technology,非常不贊成
必修,訊號與系統,Engineering and Technology,非常贊成
必修,西洋文學概論,Arts & Humanities,贊成
選修,多媒體英文與溝通,Social Sciences & Management,非常贊成
選修,國際現勢與公民視野,Social Sciences & Management,非常贊成
選修,應用英語,Arts & Humanities,非常贊成
選修,海洋分子生態學,Social Sciences & Management,非常贊成
選修,國際現勢與公民視野,Social Sciences & Management,非常贊成
選修,後真相時代的批判性思考,Arts & Humanities,沒意見
選修,國際現勢與發展,Social Sciences & Management,沒意見
必修,音樂基礎訓練,Arts & Humanities,沒意見
必修,英文中高級,Arts & Humanities,贊成
選修,印度宗教文化與身心健康,Arts & Humanities,不贊成
必修,訊號與系統,Engineering and Technology,沒意見
選修,Python,Engineering and Technology,贊成
選修,python,Engineering and Technology,非常不贊成
必修,調性音樂理論與分析（四）,Arts & Humanities,非常贊成
選修,全球環境問題與方法?,Natural Sciences,非常不贊成
必修,線性代數,Engineering and Technology,不贊成
必修,unix,Engineering and Technology,贊成
必修,微積分,Social Sciences & Management,沒意見
選修,地球生命概論,Natural Sciences,非常贊成
選修,國際現勢與公民視野,Social Sciences & Management,沒意見
選修,奈米科技概論,Engineering and Technology,非常贊成
選修,電腦輔助工程(系上選修課，老師為外國人),Engineering and Technology,贊成
選修,西方文學史,Arts & Humanities,贊成
選修,當代西洋外交史,Social Sciences & Management,不贊成
必修,統計學,Social Sciences & Management,非常不贊成
必修,"Research Method 
",Social Sciences & Management,贊成
選修,科學的本質,Natural Sciences,非常不贊成
選修,高雄社會與文化,Arts & Humanities,贊成
必修,系上的聽說讀寫,Arts & Humanities,不贊成
必修,文學作品導讀,Arts & Humanities,贊成
選修,應用英語與溝通,Social Sciences & Management,贊成
選修,數位訊號處理,Engineering and Technology,不贊成
選修,python,Engineering and Technology,贊成
選修,財務工程概論,Engineering and Technology,不贊成
必修,統計,Social Sciences & Management,沒意見
